DateTime,IsFoodFinished,WaterLevel,LightLevel,Temperature,UltraLevel,Remaining_Time
2020-10-18 20:54:02,1,36,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:03,1,39,637,24.93,60,0.0008333333333333334
2020-10-18 20:54:05,1,29,638,24.93,60,0.0005555555555555556
2020-10-18 20:54:06,1,27,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:07,1,27,639,25.42,60,0.0008333333333333334
2020-10-18 20:54:09,1,28,638,29.81,60,0.0005555555555555556
2020-10-18 20:54:10,1,28,638,24.93,60,0.0005555555555555556
2020-10-18 20:54:11,1,37,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:12,1,28,634,24.93,60,0.0008333333333333334
2020-10-18 20:54:14,1,27,639,24.93,60,0.0005555555555555556
2020-10-18 20:54:15,1,28,638,25.42,60,0.0005555555555555556
2020-10-18 20:54:16,1,27,636,28.84,60,0.0008333333333333334
2020-10-18 20:54:17,1,31,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:19,1,27,637,25.42,60,0.0005555555555555556
2020-10-18 20:54:20,1,28,637,24.93,60,0.0008333333333333334
2020-10-18 20:54:21,1,28,637,24.93,60,0.0008333333333333334
2020-10-18 20:54:23,1,35,637,24.93,60,0.0005555555555555556
2020-10-18 20:54:24,1,25,637,31.28,60,0.0005555555555555556
2020-10-18 20:54:25,1,29,636,24.93,60,0.0008333333333333334
2020-10-18 20:54:26,1,27,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:28,1,25,638,24.93,60,0.0005555555555555556
2020-10-18 20:54:29,1,29,638,31.28,60,0.0005555555555555556
2020-10-18 20:54:30,1,25,637,25.9,60,0.0008333333333333334
2020-10-18 20:54:31,1,25,636,25.42,60,0.0008333333333333334
2020-10-18 20:54:33,1,26,638,24.93,60,0.0005555555555555556
2020-10-18 20:54:34,1,26,638,24.93,60,0.0008333333333333334
2020-10-18 20:54:35,1,24,637,24.93,60,0.0008333333333333334
2020-10-18 20:54:37,1,28,637,26.88,60,0.0005555555555555556
2020-10-18 20:54:38,1,35,636,24.93,60,0.0005555555555555556
2020-10-18 20:54:39,1,136,637,23.95,60,0.0008333333333333334
2020-10-18 20:54:40,1,46,626,26.39,60,0.0008333333333333334
2020-10-18 20:54:42,1,41,636,24.93,60,0.0005555555555555556
2020-10-18 20:54:43,1,40,637,24.93,60,0.0005555555555555556
2020-10-18 20:54:44,1,37,638,24.93,60,0.0002777777777777778
2020-10-18 20:54:45,1,38,637,24.93,60,0.0
